,Phase,Model,Estimated ATE,n_covariates
312,Test,BICauseTree(Marginal),0.00014589155599273318,50
313,Train,BICauseTree(Marginal),0.02150217844165553,50
314,Test,BICauseTree(Marginal),0.02372918818215919,50
315,Train,BICauseTree(Marginal),0.0037967602512658516,50
316,Test,BICauseTree(Marginal),0.003545658553576636,50
317,Train,BICauseTree(Marginal),0.011837668847802796,50
318,Test,BICauseTree(Marginal),0.009013463760886686,50
319,Train,BICauseTree(Marginal),0.011074583942933036,50
320,Test,BICauseTree(Marginal),0.009580720642491714,50
321,Train,BICauseTree(Marginal),0.008564306735036081,50
322,Test,BICauseTree(Marginal),0.022754574582716236,50
323,Train,BICauseTree(Marginal),0.006058071521286845,50
324,Test,BICauseTree(Marginal),0.011626491975404357,50
325,Train,BICauseTree(Marginal),0.0076039134317235635,50
326,Test,BICauseTree(Marginal),0.009626713941003895,50
327,Train,BICauseTree(Marginal),0.013795190571800009,50
328,Test,BICauseTree(Marginal),0.0006236923596956434,50
329,Train,BICauseTree(Marginal),0.010273164070906254,50
330,Test,BICauseTree(Marginal),0.006163307276070895,50
331,Train,BICauseTree(Marginal),0.018931830385727738,50
332,Test,BICauseTree(Marginal),0.0015568964496009419,50
333,Train,BICauseTree(Marginal),0.02011794563828917,50
334,Test,BICauseTree(Marginal),0.004698028502408552,50
335,Train,BICauseTree(Marginal),0.014043658563135247,50
336,Test,BICauseTree(Marginal),0.0031939685207236224,50
337,Train,BICauseTree(Marginal),0.021210642130130464,50
338,Test,BICauseTree(Marginal),0.006088292369911985,50
339,Train,BICauseTree(Marginal),0.012325662385724134,50
340,Test,BICauseTree(Marginal),0.013083866390850823,50
341,Train,BICauseTree(Marginal),0.017328219367720554,50
342,Test,BICauseTree(Marginal),0.014027295665225092,50
343,Train,BICauseTree(Marginal),0.01737875709293002,50
344,Test,BICauseTree(Marginal),0.00793982125248982,50
345,Train,BICauseTree(Marginal),0.015141797763027598,50
346,Test,BICauseTree(Marginal),0.013081927039444552,50
347,Train,BICauseTree(Marginal),0.009714464755710805,50
348,Test,BICauseTree(Marginal),0.006838490342871123,50
349,Train,BICauseTree(Marginal),0.020886305185337933,50
350,Test,BICauseTree(Marginal),0.0167692124260084,50
351,Train,BICauseTree(Marginal),0.005983334441055643,50
352,Test,BICauseTree(Marginal),0.016576581859088835,50
353,Train,BICauseTree(Marginal),0.007456111260453091,50
354,Test,BICauseTree(Marginal),0.016421187307316315,50
355,Train,BICauseTree(Marginal),0.00452411402471839,50
356,Test,BICauseTree(Marginal),0.007873830648997243,50
