,model,bootstrap,covariate,weighted
347,BICauseTree(Marginal),4,renal,0.018525879062209896
348,BICauseTree(Marginal),4,rh,0.012213442833949376
349,BICauseTree(Marginal),4,hemo,0.009713963871743288
350,BICauseTree(Marginal),4,tobacco,0.05906331396087775
351,BICauseTree(Marginal),4,alcohol,0.07325068496581351
352,BICauseTree(Marginal),4,orfath,0.030356191314087417
353,BICauseTree(Marginal),4,adequacy,0.011872899290452389
354,BICauseTree(Marginal),4,drink5,0.07601556410037918
355,BICauseTree(Marginal),4,mpre5,0.026884858880726347
356,BICauseTree(Marginal),4,meduc6,0.01747405117183991
357,BICauseTree(Marginal),4,mrace,0.05484717044603307
358,BICauseTree(Marginal),4,ormoth,0.010703337322871093
359,BICauseTree(Marginal),4,frace,0.014254159529167828
360,BICauseTree(Marginal),4,birattnd,0.027398030254850922
361,BICauseTree(Marginal),4,stoccfipb_reg,0.0033815095735011363
362,BICauseTree(Marginal),4,mplbir_reg,0.025819737529446246
363,BICauseTree(Marginal),4,cigar6,0.06326963502110476
364,BICauseTree(Marginal),4,mager8,0.0014809340482713417
365,BICauseTree(Marginal),4,pldel,0.03706718290793293
366,BICauseTree(Marginal),4,brstate_reg,3.572193316325332e-05
367,BICauseTree(Marginal),4,feduc6,0.050397993642004466
368,BICauseTree(Marginal),4,dfageq,0.013719538693798135
369,BICauseTree(Marginal),4,nprevistq,0.0272195496802752
370,BICauseTree(Marginal),4,data_year,0.021452383902658783
371,BICauseTree(Marginal),4,crace,0.04777960193639359
372,BICauseTree(Marginal),4,birmon,0.005706776674840747
373,BICauseTree(Marginal),4,dtotord_min,0.01949620990529624
374,BICauseTree(Marginal),4,dlivord_min,0.0008737457653470416
375,BICauseTree(Marginal),5,eclamp,0.03594239401530319
376,BICauseTree(Marginal),5,gestatcat1,0.006389169252930785
377,BICauseTree(Marginal),5,gestatcat2,0.04887695117891702
378,BICauseTree(Marginal),5,gestatcat3,0.01606052849516076
379,BICauseTree(Marginal),5,gestatcat4,0.0005208038915481894
380,BICauseTree(Marginal),5,gestatcat5,0.03140670561779061
381,BICauseTree(Marginal),5,gestatcat6,0.04399703645100693
382,BICauseTree(Marginal),5,gestatcat7,0.014616948497523171
383,BICauseTree(Marginal),5,gestatcat8,0.01589890639069119
384,BICauseTree(Marginal),5,gestatcat9,0.002083465562378535
385,BICauseTree(Marginal),5,gestatcat10,0.008616724681404016
386,BICauseTree(Marginal),5,gestatcat1.1,0.04914785035461819
387,BICauseTree(Marginal),5,gestatcat2.1,0.03557915493178443
388,BICauseTree(Marginal),5,gestatcat3.1,0.004304123706814652
389,BICauseTree(Marginal),5,bord,0.03393413437548033
390,BICauseTree(Marginal),5,gestatcat4.1,0.029668602522008272
391,BICauseTree(Marginal),5,gestatcat6.1,0.006710079292581769
392,BICauseTree(Marginal),5,gestatcat7.1,0.008110776343417267
393,BICauseTree(Marginal),5,gestatcat8.1,0.02569244672899041
394,BICauseTree(Marginal),5,gestatcat9.1,0.02257079973490332
395,BICauseTree(Marginal),5,gestatcat10.1,0.024072705477326744
396,BICauseTree(Marginal),5,gestatcat1.2,0.05776308521453317
397,BICauseTree(Marginal),5,gestatcat2.2,7.959581769376902e-17
398,BICauseTree(Marginal),5,gestatcat3.2,0.03740770038623317
399,BICauseTree(Marginal),5,gestatcat4.2,0.05384319084687581
400,BICauseTree(Marginal),5,gestatcat5.1,0.002183153197258038
401,BICauseTree(Marginal),5,gestatcat6.2,0.027252100609162274
402,BICauseTree(Marginal),5,gestatcat7.2,0.07872255834070195
403,BICauseTree(Marginal),5,gestatcat8.2,0.019684348178731895
404,BICauseTree(Marginal),5,gestatcat5.2,0.00637611578534231
405,BICauseTree(Marginal),5,gestatcat9.2,0.006559597971270127
406,BICauseTree(Marginal),5,gestatcat10.2,0.007867638622968586
407,BICauseTree(Marginal),5,othermr,0.03576130708101095
408,BICauseTree(Marginal),5,dmar,0.0015661692249941477
409,BICauseTree(Marginal),5,csex,0.03874029102852933
410,BICauseTree(Marginal),5,cardiac,0.022398414161235336
411,BICauseTree(Marginal),5,uterine,0.011126427387231656
412,BICauseTree(Marginal),5,lung,0.009639766234756993
413,BICauseTree(Marginal),5,diabetes,0.0034760668516089135
414,BICauseTree(Marginal),5,herpes,0.033535504064286535
415,BICauseTree(Marginal),5,anemia,0.04864400156196532
416,BICauseTree(Marginal),5,hydra,0.037208779700000624
417,BICauseTree(Marginal),5,chyper,0.0032392438268781854
418,BICauseTree(Marginal),5,phyper,0.047248715917169844
419,BICauseTree(Marginal),5,incervix,0.02989919542572817
420,BICauseTree(Marginal),5,pre4000,0.0032819355171058657
421,BICauseTree(Marginal),5,preterm,0.027578715039670586
422,BICauseTree(Marginal),5,renal,0.03326270771500632
423,BICauseTree(Marginal),5,rh,0.030393663607698063
424,BICauseTree(Marginal),5,hemo,0.003498866649637479
425,BICauseTree(Marginal),5,tobacco,0.012539449197405282
426,BICauseTree(Marginal),5,alcohol,0.009634846075967606
427,BICauseTree(Marginal),5,orfath,0.04717886161684117
428,BICauseTree(Marginal),5,adequacy,0.01062631527513978
429,BICauseTree(Marginal),5,drink5,0.008543174946959674
430,BICauseTree(Marginal),5,mpre5,0.014257203609192914
431,BICauseTree(Marginal),5,meduc6,0.001340502157275672
432,BICauseTree(Marginal),5,mrace,0.07294488304705567
433,BICauseTree(Marginal),5,ormoth,0.020586260764519845
434,BICauseTree(Marginal),5,frace,0.016632287735695063
435,BICauseTree(Marginal),5,birattnd,0.013651201826097569
436,BICauseTree(Marginal),5,stoccfipb_reg,0.017119018839633196
437,BICauseTree(Marginal),5,mplbir_reg,0.06929975731016533
438,BICauseTree(Marginal),5,cigar6,0.016860375809070564
439,BICauseTree(Marginal),5,mager8,0.017470615157230376
440,BICauseTree(Marginal),5,pldel,0.01672843050609338
441,BICauseTree(Marginal),5,brstate_reg,0.020343938406004552
442,BICauseTree(Marginal),5,feduc6,0.037101165974235566
443,BICauseTree(Marginal),5,dfageq,0.017490084231699524
444,BICauseTree(Marginal),5,nprevistq,0.019608334908508735
445,BICauseTree(Marginal),5,data_year,0.01580791101578968
